pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves,description
326,Grumpig,psychic,,80,45,65,90,110,80,3,0.9,71.5,0,Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Dynamic Punch;Secret Power;Bulldoze;Power-Up Punch;Belch;Ice Punch;Mega Kick;Focus Blast;Psyshock;Bounce;Power Gem;Psybeam;Round;Brick Break;Headbutt;Extrasensory;Mud-Slap;Iron Tail;Thunder Punch;Signal Beam;Payback;Energy Ball;Drain Punch;Facade;Hyper Beam;Thief;Double-Edge;Charge Beam;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Shadow Ball;Snore;Giga Impact,GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power* its snorting breath grows labored.
327,Spinda,normal,,60,60,60,60,60,60,3,1.1,5.0,0,Fake Out;Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Secret Power;Power-Up Punch;Ice Punch;Psycho Cut;Rock Smash;Mega Kick;Psybeam;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Dizzy Punch;Thunder Punch;Wild Charge;Retaliate;Rapid Spin;Thrash;Drain Punch;Last Resort;Facade;Rollout;Strength;Thief;Double-Edge;Water Pulse;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Smelling Salts;Sucker Punch;Shadow Ball;Snore;Uproar,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
328,Trapinch,ground,,45,100,45,45,45,10,3,0.7,15.0,0,Strength;Gust;Body Slam;Round;Double-Edge;Quick Attack;Headbutt;Crunch;Dig;Mud-Slap;Bug Bite;Rock Slide;Feint;Earthquake;Superpower;Hidden Power;Bulldoze;Secret Power;Fury Cutter;Struggle Bug;Solar Beam;Bite;Signal Beam;Earth Power;Rock Smash;Mud Shot;Facade;Hyper Beam;Giga Drain;Snore,TRAPINCH’s nest is a sloped* bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders.
329,Vibrava,ground,dragon,50,70,50,50,50,70,3,1.1,15.3,0,Body Slam;Twister;Dig;Feint;U-turn;Bug Buzz;Fly;Superpower;Bulldoze;Secret Power;Struggle Bug;Outrage;Solar Beam;Ominous Wind;Rock Smash;Giga Drain;Boomburst;Gust;Round;Headbutt;Rock Slide;Mud-Slap;Steel Wing;Earthquake;Silver Wind;Bite;Signal Beam;Mud Shot;Crunch;Heat Wave;Facade;Hyper Beam;Dragon Pulse;Strength;Dragon Breath;Double-Edge;Quick Attack;Bug Bite;Draco Meteor;Hidden Power;Fury Cutter;Air Cutter;Earth Power;Snore;Uproar,To make prey faint* VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful* they can bring on headaches in people.
330,Flygon,ground,dragon,80,100,80,80,80,100,3,2.0,82.0,0,Body Slam;Fire Punch;Twister;Dig;Feint;U-turn;Bug Buzz;Fly;Superpower;Bulldoze;Secret Power;Struggle Bug;Outrage;Solar Beam;Power-Up Punch;Ominous Wind;Rock Smash;Giga Drain;Boomburst;Gust;Round;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Steel Wing;Iron Tail;Earthquake;Silver Wind;Thunder Punch;Bite;Signal Beam;Fire Blast;Flamethrower;Dragon Claw;Mud Shot;Crunch;Heat Wave;Facade;Hyper Beam;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Quick Attack;Incinerate;Bug Bite;Draco Meteor;Hidden Power;Brutal Swing;Fury Cutter;Air Cutter;Earth Power;Dragon Tail;Snore;Uproar;Giga Impact,FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand* this POKéMON is always enveloped in a sandstorm while flying.
331,Cacnea,grass,,50,85,40,85,40,35,3,0.4,51.3,0,Body Slam;Focus Punch;Dynamic Punch;Secret Power;Venoshock;Power-Up Punch;Solar Beam;Belch;Giga Drain;Fell Stinger;Round;Brick Break;Headbutt;Mud-Slap;Poison Jab;Seed Bomb;Thunder Punch;Dark Pulse;Absorb;Acid;Payback;Energy Ball;Poison Sting;Cut;Drain Punch;Bullet Seed;Facade;Needle Arm;Double-Edge;Mega Punch;Hidden Power;Smelling Salts;Fury Cutter;Sucker Punch;Snore,CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near* this POKéMON shoots sharp thorns from its body to bring the victim down.
332,Cacturne,grass,dark,70,115,60,115,60,55,3,1.3,77.4,0,Body Slam;Focus Punch;Dynamic Punch;Superpower;Secret Power;Venoshock;Power-Up Punch;Solar Beam;Belch;Mega Kick;Giga Drain;Fell Stinger;Focus Blast;Round;Brick Break;Headbutt;Mud-Slap;Poison Jab;Seed Bomb;Thunder Punch;Dark Pulse;Absorb;Acid;Payback;Retaliate;Energy Ball;Poison Sting;Cut;Drain Punch;Bullet Seed;Facade;Hyper Beam;Strength;Needle Arm;Revenge;Double-Edge;Foul Play;Mega Punch;Hidden Power;Smelling Salts;Fury Cutter;Sucker Punch;Snore;Giga Impact,During the daytime* CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops.
333,Swablu,normal,flying,45,40,60,40,75,50,3,0.4,1.2,0,Peck;Dragon Rush;Hyper Voice;Thief;Round;Body Slam;Double-Edge;Rage;Steel Wing;Mud-Slap;Twister;Dazzling Gleam;Dream Eater;Moonblast;Take Down;Heat Wave;Fly;Fury Attack;Pursuit;Hidden Power;Secret Power;Astonish;Air Cutter;Outrage;Solar Beam;Ice Beam;Ominous Wind;Echoed Voice;Sky Attack;Play Rough;Facade;Snore;Uproar;Dragon Pulse;Pluck,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
334,Altaria,dragon,flying,75,110,110,110,105,80,3,1.1,20.6,0,Hyper Voice;Body Slam;Twister;Fly;Take Down;Secret Power;Bulldoze;Outrage;Solar Beam;Ominous Wind;Rock Smash;Round;Steel Wing;Mud-Slap;Dazzling Gleam;Iron Tail;Earthquake;Pursuit;Ice Beam;Fire Blast;Flamethrower;Echoed Voice;Dragon Claw;Play Rough;Pluck;Peck;Rage;Heat Wave;Fury Attack;Astonish;Sky Attack;Facade;Hyper Beam;Dragon Pulse;Dragon Rush;Thief;Dragon Breath;Double-Edge;Incinerate;Draco Meteor;Dream Eater;Moonblast;Hidden Power;Air Cutter;Snore;Uproar;Giga Impact,ALTARIA dances and wheels through the sky among billowing* cotton-like clouds. By singing melodies in its crystal-clear voice* this POKéMON makes its listeners experience dreamy wonderment.
335,Zangoose,normal,,73,115,60,60,60,90,3,1.3,40.3,0,Body Slam;Fire Punch;Focus Punch;Dig;Feint;Dynamic Punch;Thunderbolt;Fury Swipes;Secret Power;Night Slash;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Crush Claw;Mega Kick;Giga Drain;Focus Blast;Thunder;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Pursuit;False Swipe;Thunder Punch;Slash;Ice Beam;Fire Blast;Double Hit;Flamethrower;Rock Climb;X-Scissor;Knock Off;Payback;Retaliate;Last Resort;Facade;Rollout;Strength;Thief;Revenge;Double-Edge;Quick Attack;Incinerate;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Fury Cutter;Shadow Ball;Snore;Double Kick;Close Combat,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,Seviper,poison,,73,100,60,100,60,65,3,2.7,52.5,0,Body Slam;Dig;Feint;Secret Power;Bulldoze;Night Slash;Venoshock;Belch;Rock Smash;Sludge Wave;Sludge Bomb;Giga Drain;Round;Assurance;Headbutt;Mud-Slap;Poison Jab;Iron Tail;Earthquake;Poison Fang;Bite;Flamethrower;Dark Pulse;Poison Tail;X-Scissor;Knock Off;Crunch;Payback;Retaliate;Lick;Facade;Aqua Tail;Strength;Thief;Double-Edge;Hidden Power;Brutal Swing;Fury Cutter;Infestation;Sucker Punch;Dragon Tail;Snore,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
337,Lunatone,rock,psychic,90,55,65,95,85,70,3,1.0,168.0,0,Self-Destruct;Body Slam;Zen Headbutt;Confusion;Secret Power;Bulldoze;Explosion;Psyshock;Power Gem;Round;Iron Head;Stone Edge;Rock Slide;Earthquake;Signal Beam;Ice Beam;Smack Down;Ancient Power;Facade;Hyper Beam;Rollout;Double-Edge;Charge Beam;Dream Eater;Moonblast;Psychic;Icy Wind;Hidden Power;Earth Power;Shadow Ball;Snore;Giga Impact;Acrobatics,LUNATONE was discovered at a location where a meteorite fell. As a result* some people theorize that this POKéMON came from space. However* no one has been able to prove this theory so far.
338,Solrock,rock,psychic,90,95,85,55,65,70,3,1.2,154.0,0,Self-Destruct;Body Slam;Zen Headbutt;Overheat;Confusion;Secret Power;Bulldoze;Solar Beam;Explosion;Psyshock;Round;Iron Head;Stone Edge;Rock Slide;Earthquake;Signal Beam;Fire Blast;Flamethrower;Smack Down;Ancient Power;Heat Wave;Facade;Hyper Beam;Rollout;Double-Edge;Charge Beam;Incinerate;Dream Eater;Psychic;Hidden Power;Flare Blitz;Earth Power;Shadow Ball;Snore;Giga Impact;Acrobatics,Solar energy is the source of its power* so it is strong during the daytime. When it spins* its body shines.
339,Barboach,water,ground,50,48,43,46,41,60,3,0.4,1.9,0,Bounce;Round;Double-Edge;Hydro Pump;Waterfall;Headbutt;Mud-Slap;Water Pulse;Scald;Take Down;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Water Gun;Surf;Thrash;Mud Bomb;Muddy Water;Ice Beam;Earth Power;Mud Shot;Spark;Facade;Snore;Aqua Tail;Dive,BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud* leaving only its two whiskers exposed while it waits for prey to come along.
340,Whiscash,water,ground,110,78,73,76,71,60,3,0.9,23.6,0,Strength;Bounce;Round;Zen Headbutt;Double-Edge;Hydro Pump;Headbutt;Stone Edge;Mud-Slap;Rock Slide;Waterfall;Water Pulse;Scald;Take Down;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Water Gun;Surf;Thrash;Mud Bomb;Belch;Muddy Water;Ice Beam;Earth Power;Rock Smash;Mud Shot;Spark;Facade;Snore;Hyper Beam;Aqua Tail;Giga Impact;Dive,WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it* it thrashes about and triggers a massive earthquake.
341,Corphish,water,,43,80,65,50,35,35,3,0.6,11.5,0,Strength;Cut;Body Slam;Round;Knock Off;Double-Edge;Razor Shell;Brick Break;Waterfall;Crunch;Ancient Power;Mud-Slap;Dig;Metal Claw;Payback;Water Pulse;Bubble;Scald;Superpower;Icy Wind;Hidden Power;Secret Power;False Swipe;Aqua Jet;Night Slash;Chip Away;Fury Cutter;Surf;Vice Grip;Rock Slide;Ice Beam;Bubble Beam;Double Hit;Rock Smash;Sludge Bomb;Facade;Snore;X-Scissor,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
342,Crawdaunt,water,dark,63,120,85,90,55,55,3,1.1,32.8,0,Body Slam;Dig;Bubble;Scald;Superpower;Secret Power;Night Slash;Chip Away;Rock Smash;Sludge Wave;Sludge Bomb;Round;Avalanche;Razor Shell;Brick Break;Mud-Slap;Rock Slide;False Swipe;Aqua Jet;Ice Beam;Double Hit;Dark Pulse;X-Scissor;Knock Off;Waterfall;Crunch;Ancient Power;Payback;Retaliate;Cut;Surf;Vice Grip;Facade;Hyper Beam;Snarl;Strength;Double-Edge;Metal Claw;Water Pulse;Icy Wind;Hidden Power;Fury Cutter;Bubble Beam;Snore;Giga Impact;Dive,CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON* making them desolate places.
343,Baltoy,ground,psychic,40,40,55,40,70,55,3,0.5,21.5,0,Self-Destruct;Psyshock;Psybeam;Round;Double-Edge;Zen Headbutt;Headbutt;Charge Beam;Ancient Power;Mud-Slap;Extrasensory;Rock Slide;Dig;Rapid Spin;Dazzling Gleam;Confusion;Dream Eater;Earthquake;Psychic;Hidden Power;Secret Power;Bulldoze;Solar Beam;Explosion;Drill Run;Signal Beam;Earth Power;Ice Beam;Smack Down;Shadow Ball;Facade;Snore,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
344,Claydol,ground,psychic,60,70,105,70,120,75,3,1.5,108.0,0,Self-Destruct;Zen Headbutt;Dig;Confusion;Secret Power;Bulldoze;Solar Beam;Explosion;Rock Smash;Psyshock;Psybeam;Round;Stone Edge;Headbutt;Extrasensory;Mud-Slap;Rock Slide;Dazzling Gleam;Earthquake;Drill Run;Signal Beam;Ice Beam;Smack Down;Ancient Power;Rapid Spin;Facade;Hyper Beam;Strength;Double-Edge;Charge Beam;Dream Eater;Psychic;Hidden Power;Earth Power;Shadow Ball;Snore;Giga Impact,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
345,Lileep,rock,grass,66,41,77,61,87,23,3,1.0,23.8,0,Acid;Body Slam;Constrict;Round;Double-Edge;Ancient Power;Rock Slide;Mud-Slap;Energy Ball;Brine;Seed Bomb;Hidden Power;Secret Power;Infestation;Astonish;Solar Beam;Earth Power;Bullet Seed;Smack Down;Sludge Bomb;Giga Drain;Snore;Facade;Mega Drain,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.
346,Cradily,rock,grass,86,81,97,81,107,43,3,1.5,60.4,0,Strength;Acid;Giga Impact;Body Slam;Constrict;Round;Double-Edge;Stone Edge;Headbutt;Ancient Power;Rock Slide;Mud-Slap;Energy Ball;Brine;Earthquake;Seed Bomb;Hidden Power;Secret Power;Bulldoze;Infestation;Astonish;Solar Beam;Earth Power;Bullet Seed;Rock Smash;Smack Down;Sludge Wave;Sludge Bomb;Giga Drain;Snore;Hyper Beam;Facade;Mega Drain,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
347,Anorith,rock,bug,45,95,50,40,50,75,3,0.7,12.5,0,Body Slam;Round;Knock Off;Double-Edge;Cross Poison;Brick Break;Headbutt;Ancient Power;Bug Bite;Rock Slide;Rapid Spin;Mud-Slap;Metal Claw;Brine;Scratch;Water Pulse;Hidden Power;False Swipe;Secret Power;Cut;Water Gun;Aqua Jet;Fury Cutter;Struggle Bug;Slash;Earth Power;Rock Smash;Smack Down;X-Scissor;Facade;Snore;Crush Claw;Dig,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
348,Armaldo,rock,bug,75,125,100,70,80,45,3,1.5,68.2,0,Body Slam;Dig;Superpower;Secret Power;Bulldoze;Struggle Bug;Rock Smash;Crush Claw;Round;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Brine;Iron Tail;Scratch;Earthquake;False Swipe;Aqua Jet;Slash;Flash Cannon;Smack Down;X-Scissor;Knock Off;Ancient Power;Rapid Spin;Cut;Water Gun;Facade;Hyper Beam;Aqua Tail;Strength;Double-Edge;Cross Poison;Bug Bite;Metal Claw;Water Pulse;Hidden Power;Brutal Swing;Fury Cutter;Earth Power;Snore;Giga Impact,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
349,Feebas,water,,20,15,20,10,55,80,3,0.6,7.4,0,Round;Dragon Breath;Double-Edge;Waterfall;Brine;Iron Tail;Water Pulse;Scald;Icy Wind;Hidden Power;Secret Power;Surf;Ice Beam;Facade;Snore;Dragon Pulse;Dive,FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance* this POKéMON is largely ignored. It is capable of living in both the sea and in rivers.
350,Milotic,water,,95,60,79,100,125,81,3,6.2,162.0,0,Body Slam;Iron Head;Dragon Breath;Double-Edge;Hydro Pump;Avalanche;Twister;Mud-Slap;Waterfall;Brine;Iron Tail;Water Pulse;Scald;Icy Wind;Hidden Power;Secret Power;Brutal Swing;Water Gun;Bulldoze;Surf;Round;Ice Beam;Dragon Tail;Facade;Hyper Beam;Snore;Aqua Tail;Dragon Pulse;Giga Impact;Dive,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.
351,Castform,normal,,70,70,70,70,70,70,3,0.3,0.8,0,Thunder;Thief;Body Slam;Round;Hurricane;Double-Edge;Hydro Pump;Avalanche;Headbutt;Incinerate;Retaliate;Energy Ball;Weather Ball;Ember;Water Pulse;Thunderbolt;Scald;Icy Wind;Hidden Power;Secret Power;Water Gun;Solar Beam;Hex;Ice Beam;Fire Blast;Ominous Wind;Flamethrower;Last Resort;Shadow Ball;Facade;Powder Snow;Snore,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,Kecleon,normal,,60,90,70,60,120,40,3,1.0,22.0,0,Shadow Sneak;Fake Out;Body Slam;Fire Punch;Focus Punch;Dig;Feint;Dynamic Punch;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Mega Kick;Thunder;Psybeam;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Dizzy Punch;Thunder Punch;Slash;Ice Beam;Fire Blast;Synchronoise;Flamethrower;Knock Off;Ancient Power;Retaliate;Cut;Lick;Astonish;Drain Punch;Last Resort;Facade;Rollout;Aqua Tail;Strength;Thief;Double-Edge;Charge Beam;Incinerate;Foul Play;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Fury Cutter;Sucker Punch;Shadow Ball;Snore,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
353,Shuppet,ghost,,44,75,35,63,33,45,3,0.6,2.3,0,Thunder;Shadow Sneak;Thief;Phantom Force;Body Slam;Round;Knock Off;Double-Edge;Headbutt;Charge Beam;Payback;Dazzling Gleam;Foul Play;Thunderbolt;Dream Eater;Psychic;Icy Wind;Hidden Power;Pursuit;Secret Power;Astonish;Hex;Ominous Wind;Sucker Punch;Dark Pulse;Shadow Ball;Facade;Snore,SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance* this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home.
354,Banette,ghost,,64,165,75,93,83,75,3,1.1,12.5,0,Shadow Sneak;Body Slam;Thunderbolt;Secret Power;Ominous Wind;Thunder;Phantom Force;Round;Headbutt;Mud-Slap;Shadow Claw;Dazzling Gleam;Pursuit;Hex;Dark Pulse;Knock Off;Payback;Astonish;Facade;Hyper Beam;Thief;Double-Edge;Charge Beam;Foul Play;Dream Eater;Psychic;Icy Wind;Hidden Power;Infestation;Sucker Punch;Shadow Ball;Snore;Giga Impact,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,Duskull,ghost,,20,40,90,30,90,25,3,0.8,15.0,0,Shadow Sneak;Thief;Body Slam;Round;Double-Edge;Headbutt;Charge Beam;Payback;Dream Eater;Psychic;Icy Wind;Hidden Power;Pursuit;Secret Power;Infestation;Astonish;Hex;Ominous Wind;Ice Beam;Dark Pulse;Sucker Punch;Shadow Ball;Facade;Snore,DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target* it will doggedly pursue the intended victim until the break of dawn.
356,Dusclops,ghost,,40,70,130,60,130,25,3,1.6,30.6,0,Shadow Sneak;Body Slam;Fire Punch;Focus Punch;Dynamic Punch;Secret Power;Bulldoze;Power-Up Punch;Ice Punch;Ominous Wind;Rock Smash;Mega Kick;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Earthquake;Pursuit;Thunder Punch;Hex;Ice Beam;Dark Pulse;Payback;Astonish;Facade;Hyper Beam;Strength;Thief;Double-Edge;Charge Beam;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Infestation;Sucker Punch;Shadow Ball;Snore;Giga Impact,DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body* but nothing will ever come back out.
357,Tropius,grass,flying,99,68,83,72,87,51,3,2.0,100.0,0,Body Slam;Twister;Leaf Tornado;Fly;Secret Power;Bulldoze;Outrage;Solar Beam;Ominous Wind;Rock Smash;Giga Drain;Gust;Round;Headbutt;Steel Wing;Mud-Slap;Slam;Earthquake;Seed Bomb;Silver Wind;Air Slash;Razor Leaf;Energy Ball;Cut;Bullet Seed;Facade;Hyper Beam;Dragon Pulse;Stomp;Leaf Blade;Strength;Double-Edge;Hidden Power;Brutal Swing;Fury Cutter;Air Cutter;Leaf Storm;Dragon Hammer;Snore;Giga Impact,The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit* and eats it continuously. Apparently* its love for fruit resulted in its own outgrowth of fruit.
358,Chimecho,psychic,,75,50,80,95,90,65,3,0.6,1.0,0,Hyper Voice;Zen Headbutt;Confusion;Take Down;Secret Power;Stored Power;Psyshock;Round;Extrasensory;Dazzling Gleam;Signal Beam;Synchronoise;Echoed Voice;Knock Off;Energy Ball;Astonish;Last Resort;Facade;Rollout;Double-Edge;Charge Beam;Dream Eater;Psychic;Icy Wind;Hidden Power;Shadow Ball;Snore;Uproar,CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged* its cries result in ultrasonic waves that have the power to knock foes flying.
359,Absol,dark,,65,150,60,115,60,115,3,1.2,47.0,0,Body Slam;Zen Headbutt;Feint;Thunderbolt;Superpower;Secret Power;Night Slash;Psycho Cut;Rock Smash;Thunder;Bounce;Round;Assurance;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Pursuit;False Swipe;Bite;Hex;Slash;Ice Beam;Fire Blast;Flamethrower;Dark Pulse;Echoed Voice;Play Rough;X-Scissor;Knock Off;Payback;Retaliate;Cut;Megahorn;Facade;Hyper Beam;Snarl;Strength;Thief;Double-Edge;Quick Attack;Charge Beam;Incinerate;Foul Play;Water Pulse;Dream Eater;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Giga Impact,Every time ABSOL appears before people* it is followed by a disaster such as an earthquake or a tidal wave. As a result* it came to be known as the disaster POKéMON.
360,Wynaut,psychic,,95,23,48,23,48,23,3,0.6,14.0,0,,WYNAUT can always be seen with a big* happy smile on its face. Look at its tail to determine if it is angry. When angered* this POKéMON will be slapping the ground with its tail.
361,Snorunt,ice,,50,50,50,50,50,50,3,0.7,16.8,0,Body Slam;Round;Double-Edge;Avalanche;Headbutt;Crunch;Weather Ball;Water Pulse;Icy Wind;Hidden Power;Secret Power;Ice Shard;Bite;Hex;Ice Beam;Shadow Ball;Facade;Powder Snow;Rollout;Ice Fang;Frost Breath;Snore,SNORUNT live in regions with heavy snowfall. In seasons without snow* such as spring and summer* this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns.
362,Glalie,ice,,80,120,80,120,80,100,3,1.5,256.5,0,Giga Impact;Self-Destruct;Body Slam;Iron Head;Round;Double-Edge;Avalanche;Headbutt;Crunch;Payback;Weather Ball;Freeze-Dry;Water Pulse;Earthquake;Icy Wind;Hidden Power;Secret Power;Ice Shard;Bulldoze;Bite;Hex;Ice Beam;Explosion;Signal Beam;Dark Pulse;Shadow Ball;Facade;Powder Snow;Rollout;Ice Fang;Frost Breath;Snore;Hyper Beam,GLALIE has a body made of rock* which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires.
363,Spheal,ice,water,70,40,50,55,50,25,3,0.8,39.5,0,Strength;Body Slam;Round;Double-Edge;Headbutt;Waterfall;Rock Slide;Mud-Slap;Brine;Iron Tail;Water Pulse;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Water Gun;Surf;Ice Ball;Signal Beam;Ice Beam;Rock Smash;Echoed Voice;Aurora Beam;Facade;Powder Snow;Snore;Rollout;Frost Breath;Aqua Tail;Dive,SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat* they all clap at once to show their pleasure. Because of this* their mealtimes are noisy.
364,Sealeo,ice,water,90,60,70,75,70,45,3,1.1,87.6,0,Strength;Body Slam;Round;Double-Edge;Headbutt;Waterfall;Rock Slide;Mud-Slap;Brine;Iron Tail;Water Pulse;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Water Gun;Surf;Ice Ball;Signal Beam;Ice Beam;Rock Smash;Echoed Voice;Aurora Beam;Facade;Powder Snow;Snore;Rollout;Frost Breath;Aqua Tail;Dive,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
365,Walrein,ice,water,110,80,90,95,90,65,3,1.4,150.6,0,Strength;Giga Impact;Body Slam;Iron Head;Round;Double-Edge;Avalanche;Headbutt;Crunch;Rock Slide;Mud-Slap;Waterfall;Brine;Iron Tail;Water Pulse;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Water Gun;Surf;Fury Cutter;Ice Ball;Signal Beam;Ice Beam;Rock Smash;Echoed Voice;Aurora Beam;Facade;Powder Snow;Snore;Rollout;Ice Fang;Hyper Beam;Frost Breath;Aqua Tail;Dive,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.
366,Clamperl,water,,35,64,85,74,55,32,3,0.4,52.5,0,Body Slam;Round;Double-Edge;Waterfall;Brine;Water Pulse;Scald;Icy Wind;Hidden Power;Secret Power;Water Gun;Surf;Muddy Water;Ice Beam;Facade;Snore;Dive,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,Huntail,water,,55,104,105,94,75,52,3,1.7,27.0,0,Giga Impact;Bounce;Body Slam;Round;Double-Edge;Hydro Pump;Waterfall;Crunch;Mud-Slap;Brine;Water Pulse;Scald;Icy Wind;Hidden Power;Secret Power;Water Gun;Surf;Infestation;Bite;Muddy Water;Ice Beam;Sucker Punch;Facade;Hyper Beam;Snore;Ice Fang;Aqua Tail;Dive,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,Gorebyss,water,,55,84,105,114,75,52,3,1.8,22.6,0,Bounce;Body Slam;Round;Double-Edge;Hydro Pump;Waterfall;Mud-Slap;Brine;Water Pulse;Confusion;Scald;Psychic;Icy Wind;Hidden Power;Secret Power;Water Gun;Draining Kiss;Infestation;Surf;Muddy Water;Signal Beam;Ice Beam;Shadow Ball;Facade;Snore;Hyper Beam;Aqua Tail;Giga Impact;Dive,GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this* this POKéMON’s body is unharmed by ordinary attacks.
